MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name,Gender
1,0,4,4,4,5,5,4,0,0,0,6,6,1,1,6,2,pete,m
2,1,0,0,0,0,1,2,0,0,0,0,0,3,3,0,0,chea,f
3,1,0,0,2,1,0,0,0,0,0,0,0,3,3,0,0,fawn,f
4,1,0,2,0,1,0,0,0,0,0,4,4,3,3,4,0,pete jr.,m
5,5,0,4,4,0,0,0,0,0,0,6,6,0,0,6,0,karolyn englehardt,f
6,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,carol woliung,f
7,1,2,0,0,0,1,0,0,0,0,0,0,3,3,0,0,tyler,m
8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,kiana kim,f
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ashton,m
10,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,cassie,f
11,3,0,0,1,3,0,0,0,0,0,0,0,7,7,2,0,pete jr. son,m
12,3,0,0,1,0,0,0,0,0,0,0,0,7,7,2,0,pete jr. daughter,f
13,4,6,6,6,0,0,6,0,0,0,8,8,0,5,8,4,laverne,f
14,4,6,6,6,0,0,6,0,0,0,8,8,5,0,8,4,harry francis,m
15,3,0,0,1,3,0,0,0,0,0,2,2,7,7,0,0,pete jr. daughter2,f
16,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,david,m
