MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,Name,Gender
1,0,5,0,0,4,6,6,4,4,4,6,6,6,6,0,0,1,6,0,0,8,0,1,2,2,2,2,6,0,8,8,0,8,8,0,0,0,8,8,6,6,0,prince philip,m
2,5,0,1,1,4,6,6,4,4,4,6,6,6,6,0,2,0,6,0,0,8,0,0,0,0,0,0,6,0,8,8,0,8,8,0,0,3,8,8,6,6,0,queen elizabeth ii,f
3,0,4,0,5,6,8,8,6,6,6,8,8,8,8,0,4,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,8,8,0,george vi,m
4,0,4,5,0,6,8,8,6,6,6,8,8,8,8,0,4,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,queen elizabeth,f
5,1,1,3,3,0,4,4,2,2,2,0,0,0,0,0,0,3,0,5,0,6,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,7,6,0,0,0,0,prince charles,m
6,3,3,7,7,1,0,2,0,0,0,0,0,0,0,0,0,7,0,1,5,4,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,prince william,m
7,3,3,7,7,1,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prince harry,m
8,1,1,3,3,2,0,0,0,2,2,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,4,5,6,6,0,0,6,0,0,7,0,0,0,0,0,princess ann,f
9,1,1,3,3,2,0,0,2,0,2,4,4,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,prince andrew,m
10,1,1,3,3,2,0,0,2,2,0,0,0,4,4,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,prince edward,m
