MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Name,Gender
1,0,5,4,4,1,1,2,0,0,0,2,0,0,0,0,0,0,0,king felipe,m
2,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,queen letizia,f
3,1,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,leonor,f
4,1,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,sofia,f
5,4,0,6,6,0,5,4,0,6,6,4,0,6,6,6,6,0,0,king juan,m
6,4,0,6,6,5,0,4,0,6,6,4,0,6,6,6,6,0,0,queen sofia,f
7,2,0,0,0,1,1,0,5,4,0,2,0,0,0,0,4,0,0,elena,f
8,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,4,0,0,jaime,m
9,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,2,0,0,felipe,m
10,0,0,0,0,3,3,0,0,0,0,1,1,2,2,2,0,0,0,juan,m
11,2,0,0,0,1,1,2,0,0,4,0,5,4,4,4,0,0,0,cristina,f
12,0,0,0,0,0,0,0,0,0,4,5,0,4,4,4,0,0,0,inaki,m
13,0,0,0,0,3,3,0,0,0,2,1,1,0,2,2,0,0,0,pablo,m
14,0,0,0,0,3,3,0,0,0,2,1,1,2,0,2,0,0,0,miguel,m
15,0,0,0,0,3,3,0,0,0,2,1,1,2,2,0,0,0,0,irene,f
16,0,0,0,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,victoria,f
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,dmitry medvedev,m
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,svetlana medvedeva,f
