MID,1,2,3,4,5,6,7,8,9,10,11,12,Name,Gender
1,0,2,1,1,3,0,3,0,7,0,7,0,princess gabriella,f
2,2,0,1,1,3,0,3,0,7,0,7,0,princess jacques,f
3,4,4,0,5,0,0,0,0,0,0,0,0,princess charlene,f
4,4,4,5,0,1,2,1,2,3,7,3,0,prince albert ii,m
5,6,6,0,4,0,4,5,4,0,0,0,0,grace kelly,f
6,0,0,0,2,1,0,1,2,3,7,3,0,princess caroline,f
7,6,6,0,4,5,4,0,4,1,3,1,2,prince rainier,m
8,0,0,0,2,1,2,1,0,3,7,0,0,princess stephanie,f
9,8,8,0,6,0,6,4,6,0,0,5,4,prince pierre,m
10,0,0,0,8,0,8,6,8,0,0,4,6,louis ii,m
11,8,8,0,6,0,6,4,0,5,1,0,4,princess charlotte,f
12,0,0,0,0,0,0,2,0,1,3,1,0,princess antoinette,f
