MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Name,Gender
1,0,5,4,4,4,4,4,1,1,2,0,2,0,0,0,0,2,2,0,2,tsar nicolas ii,m
2,5,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,princess alix,f
3,1,1,0,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,alexei,m
4,1,1,2,0,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,anastasia,f
5,1,1,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,maria,f
6,1,1,2,2,2,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,tatiana,f
7,1,1,2,2,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,olga,f
8,4,0,6,6,6,6,6,0,5,4,6,4,6,6,6,6,4,0,0,4,tsar alexander iii,m
9,4,0,6,6,6,6,6,5,0,4,6,4,6,6,6,6,4,0,0,4,princess dagmar,f
10,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,2,grand duke george,m
11,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,1,0,george count brassov,m
12,2,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,2,0,5,2,grand duke michael,m
13,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,2,1,1,0,0,princess irina,f
14,0,0,0,0,0,0,0,3,3,0,0,0,2,0,2,2,1,1,0,0,rostislav,m
15,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,2,1,1,0,0,prince andrei,m
16,0,0,0,0,0,0,0,3,3,0,0,0,2,2,2,0,1,1,0,0,feodor,m
17,2,0,0,0,0,0,0,1,1,2,0,2,4,4,4,4,0,5,0,2,grand duchess xenia,f
18,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,0,0,0,grand duke alexander,m
19,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,natalia,f
20,2,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,2,0,0,0,grand duchess olga,f
