MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Name,Gender
1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,5,0,prince hitachi,m
2,2,0,5,4,0,4,0,6,6,6,6,1,1,4,2,2,2,0,2,emperor akihito,m
3,0,5,0,4,0,4,0,6,6,6,6,0,0,4,0,0,0,0,0,empress michiko,f
4,0,1,1,0,5,2,0,0,0,0,4,3,3,2,0,0,0,0,0,crown prince naruhito,m
5,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,crown princess masako,f
6,0,1,1,2,0,0,5,4,4,4,0,3,3,2,0,0,0,0,0,prince akishino,m
7,0,0,0,0,0,5,0,4,4,4,0,0,0,0,0,0,0,0,0,princess kiko,f
8,0,3,3,0,0,1,1,0,2,2,0,7,7,0,0,0,0,0,0,prince hisahito,m
9,0,3,3,0,0,1,1,2,0,2,0,7,7,0,0,0,0,0,0,princess kako,f
10,0,3,3,0,0,1,1,2,2,0,0,7,7,0,0,0,0,0,0,princess mako,f
11,0,3,3,1,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,princess aiko,f
12,4,4,0,6,0,6,0,8,8,8,8,0,5,6,4,4,4,0,4,emperor showa,m
13,4,4,0,6,0,6,0,8,8,8,8,5,0,6,4,4,4,0,4,empress kojun,f
14,0,1,1,2,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,sayako princess nori,f
15,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,2,princess yori,f
16,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,princess taka,f
17,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,princess teru,f
18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,princess hitachi,f
19,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,princess suga,f
